ID_Aluno;Nome_Completo;Senha;Turma;Data_Avaliacao;Tipo_Registro;BIO_ECO_C;BIO_ECO_E;BIO_SATC_C;BIO_SATC_E;BIO_CEL_C;BIO_CEL_E;BIO_MQ_C;BIO_MQ_E;BIO_EVO_C;BIO_EVO_E;BIO_EMH_C;BIO_EMH_E;BIO_ZOO_C;BIO_ZOO_E;BIO_BOT_C;BIO_BOT_E;BIO_ANAFIS_C;BIO_ANAFIS_E
ANA001;Ana Silva;bio123;3A;2026-01-10;avaliacao;15;10;12;8;18;7;14;11;16;9;13;12;17;8;19;6;20;5
ANA001;Ana Silva;bio123;3A;2026-01-20;reforco;18;7;15;10;20;5;17;8;19;6;16;9;20;5;22;3;23;2
ANA001;Ana Silva;bio123;3A;2026-02-01;avaliacao;22;3;20;5;25;0;21;4;23;2;20;5;24;1;26;0;27;0
ANA001;Ana Silva;bio123;3A;2026-02-15;reforco;25;0;23;2;28;0;24;1;26;0;23;2;27;0;29;0;30;0
BRU002;Bruno Santos;bio456;3A;2026-01-12;avaliacao;10;15;8;12;12;13;9;16;11;14;10;15;13;12;14;11;15;10
BRU002;Bruno Santos;bio456;3A;2026-01-25;reforco;13;12;11;14;15;10;12;13;14;11;13;12;16;9;17;8;18;7
BRU002;Bruno Santos;bio456;3A;2026-02-05;avaliacao;17;8;16;9;19;6;16;9;18;7;17;8;20;5;21;4;22;3
BRU002;Bruno Santos;bio456;3A;2026-02-20;reforco;20;5;19;6;22;3;19;6;21;4;20;5;23;2;24;1;25;0
CAR003;Carla Oliveira;bio789;3B;2026-01-15;avaliacao;14;11;13;12;16;9;15;10;17;8;14;11;18;7;19;6;20;5
CAR003;Carla Oliveira;bio789;3B;2026-01-28;reforco;17;8;16;9;19;6;18;7;20;5;17;8;21;4;22;3;23;2
CAR003;Carla Oliveira;bio789;3B;2026-02-10;avaliacao;21;4;20;5;23;2;22;3;24;1;21;4;25;0;26;0;27;0
CAR003;Carla Oliveira;bio789;3B;2026-02-25;reforco;24;1;23;2;26;0;25;0;27;0;24;1;28;0;29;0;30;0
DAN004;Daniel Pereira;bio321;3B;2026-01-18;avaliacao;12;13;10;15;14;11;11;14;13;12;12;13;15;10;16;9;17;8
DAN004;Daniel Pereira;bio321;3B;2026-02-02;reforco;15;10;13;12;17;8;14;11;16;9;15;10;18;7;19;6;20;5
DAN004;Daniel Pereira;bio321;3B;2026-02-12;avaliacao;19;6;17;8;21;4;18;7;20;5;19;6;22;3;23;2;24;1
DAN004;Daniel Pereira;bio321;3B;2026-02-28;reforco;22;3;20;5;24;1;21;4;23;2;22;3;25;0;26;0;27;0
EDU005;Eduarda Lima;bio654;3B;2026-01-22;avaliacao;16;9;14;11;17;8;15;10;18;7;16;9;19;6;20;5;21;4
EDU005;Eduarda Lima;bio654;3B;2026-02-08;reforco;19;6;17;8;20;5;18;7;21;4;19;6;22;3;23;2;24;1
EDU005;Eduarda Lima;bio654;3B;2026-02-18;avaliacao;23;2;21;4;24;1;22;3;25;0;23;2;26;0;27;0;28;0
EDU005;Eduarda Lima;bio654;3B;2026-03-01;reforco;26;0;24;1;27;0;25;0;28;0;26;0;29;0;30;0;30;0
